"order_purchase_date","orders_count","customers_making_orders_count","revenue_usd","average_revenue_per_order_usd","top_3_product_categories_by_revenue","top_3_product_categories_revenue_percentage"
2017-02-22,63,24.00,3261.1399879455566,51.76,"ferramentas_jardim, cool_stuff","34.31, 16.07"
2017-02-21,41,16.00,6683.169997215271,163.00,"pcs, esporte_lazer","53.10, 14.72"
2017-02-20,63,15.00,2605.179983139038,41.35,"beleza_saude, moveis_decoracao","31.72, 15.38"
2017-02-19,40,15.00,2012.4399738311768,50.31,"brinquedos, automotivo","18.88, 18.62"
2017-02-18,54,15.00,3103.109956741333,57.46,"cama_mesa_banho, ferramentas_jardim","16.17, 16.10"
2017-02-17,46,21.00,3338.4300022125244,72.57,"ferramentas_jardim, climatizacao","32.56, 20.67"
2017-02-16,55,20.00,2172.0199966430664,39.49,"esporte_lazer, utilidades_domesticas","23.25, 12.84"
2017-02-15,62,20.00,2685.329996109009,43.31,"ferramentas_jardim, moveis_decoracao","21.11, 15.97"
2017-02-14,76,31.00,5968.249950885773,78.53,"cama_mesa_banho, informatica_acessorios","21.27, 15.41"
2017-02-13,78,27.00,4499.2300090789795,57.68,"esporte_lazer, perfumaria","34.00, 10.44"
2017-02-12,64,27.00,3326.439971923828,51.98,"perfumaria, ferramentas_jardim","17.73, 13.09"
2017-02-11,49,21.00,1892.4000082015991,38.62,"moveis_escritorio, esporte_lazer","52.66, 17.90"
2017-02-10,66,31.00,6908.229970932007,104.67,"informatica_acessorios, cama_mesa_banho","59.23, 9.65"
2017-02-09,77,31.00,3366.8600087165833,43.73,"moveis_escritorio, moveis_decoracao","20.79, 14.90"
2017-02-08,95,34.00,5018.339996337891,52.82,"relogios_presentes, automotivo","26.36, 15.72"
2017-02-07,112,49.00,5901.950019836426,52.70,"esporte_lazer, informatica_acessorios","20.27, 13.75"
2017-02-06,85,29.00,3222.350019454956,37.91,"cool_stuff, consoles_games","16.07, 12.41"
2017-02-05,75,29.00,2530.140022277832,33.74,"moveis_escritorio, moveis_decoracao","35.43, 17.65"
2017-02-04,67,22.00,4090.0399646759033,61.05,"beleza_saude, moveis_sala","26.51, 19.46"
2017-02-03,60,18.00,2413.310019493103,40.22,"telefonia, moveis_escritorio","39.73, 16.99"
2017-02-02,69,30.00,5326.439973831177,77.19,"cool_stuff, relogios_presentes","19.74, 12.66"
2017-02-01,73,31.00,4533.690006732941,62.11,"cool_stuff, moveis_decoracao","27.86, 15.80"
2017-01-31,70,27.00,2974.5400199890137,42.49,"beleza_saude, relogios_presentes","19.90, 14.89"
2017-01-30,53,22.00,4771.359979629517,90.03,"pcs, beleza_saude","46.11, 21.22"
2017-01-29,35,9.00,1667.8899955749512,47.65,"esporte_lazer, malas_acessorios","23.10, 14.38"
2017-01-28,29,7.00,3942.260021209717,135.94,"cool_stuff, bebes","22.04, 16.97"
2017-01-27,62,20.00,4043.8000288009644,65.22,"informatica_acessorios, beleza_saude","49.88, 12.14"
2017-01-26,86,29.00,6727.569997787476,78.23,"esporte_lazer, relogios_presentes","36.44, 19.31"
2017-01-25,63,27.00,3569.4699754714966,56.66,"cool_stuff, perfumaria","25.72, 22.51"
2017-01-24,40,14.00,2886.2399673461914,72.16,"automotivo, brinquedos","28.81, 24.60"
2017-01-23,39,18.00,3837.3799991607666,98.39,"ferramentas_jardim, esporte_lazer","22.57, 22.39"
2017-01-22,31,14.00,1241.170009613037,40.04,"beleza_saude, pet_shop","68.07, 12.00"
2017-01-21,24,7.00,949.9999923706055,39.58,"moveis_decoracao, cama_mesa_banho","51.73, 44.18"
2017-01-20,29,11.00,1750.9999923706055,60.38,"automotivo, beleza_saude","26.26, 19.98"
2017-01-19,29,8.00,1251.4500122070312,43.15,"moveis_decoracao, bebes","39.23, 11.99"
2017-01-18,33,10.00,708.4599952697754,21.47,"relogios_presentes, esporte_lazer","26.68, 23.70"
2017-01-17,32,13.00,1162.5700035095215,36.33,"relogios_presentes, brinquedos","32.60, 15.47"
2017-01-16,19,8.00,1831.9500188827515,96.42,"cool_stuff, moveis_decoracao","34.33, 24.32"
2017-01-15,14,6.00,1158.5899810791016,82.76,"ferramentas_jardim, beleza_saude","32.80, 30.20"
2017-01-14,18,11.00,522.1000080108643,29.01,"moveis_decoracao, esporte_lazer","50.66, 35.97"
2017-01-13,12,3.00,1763.7899932861328,146.98,"ferramentas_jardim, utilidades_domesticas","64.63, 28.29"
2017-01-12,13,4.00,508.49999237060547,39.12,"moveis_decoracao, bebes","81.55, 11.78"
